"produkty__ID";"prod__nazwa";"prod__opis";"prod__zaleznosc"
1;"Komfort Życia";"Ubezpieczenie na życie";0
2;"Emerytura bez Obaw";"Ubezpieczenie na życie z odkładaniem kapitału";0
3;"Start w Życie";"Ubezpieczenie na życie dziecka z odkładaniem kapitału na start w życie";0
4;"Oszczędności bez Obaw";"Ubezpieczenie oszczędnościowe";0
5;"Pewny Kapitał";"Ubezpieczenie na życie z odkładaaniem kapitału";0
6;"Ubezpieczenie Dodatkowe na wypadek Śmierci";"Ubezpieczenie Dodatkowe na wypadek Śmierci";2
7;"Ubezpieczenie Dodatkowe na wypadek Śmierci";"Ubezpieczenie Dodatkowe na wypadek Śmierci";4
8;"Ubezp Dod na wypadek Śmierci w NW";"Ubezpieczenie Dodatkowe na wypadek Śmierci w nieszczęśliwym wypadku";1
9;"Ubezp Dod na wypadek Śmierci w NW";"Ubezpieczenie Dodatkowe na wypadek Śmierci w nieszczęśliwym wypadku";2
10;"Ubezp Dod na wypadek Śmierci w NW";"Ubezpieczenie Dodatkowe na wypadek Śmierci w nieszczęśliwym wypadku";4
11;"Ubezp Dod na wyp niezd. do pracy";"Ubezpieczenie Dodatkowe na wyp niezd. do pracy";1
12;"Ubezp Dod na wyp niezd. do pracy";"Ubezp Dod na wyp niezd. do pracy";2
13;"Ubezp Dod na wyp niezd. do pracy";"Ubezp Dod na wyp niezd. do pracy";4
14;"";"";0
